woman gesturing NO: medium-light skin tone |fe0f
woman gesturing NO: medium skin tone |fe0f
woman gesturing NO: medium-dark skin tone |fe0f
woman gesturing NO: dark skin tone |fe0f
person gesturing OK |1f646
person gesturing OK: light skin tone |1f3fb
person gesturing OK: medium-light skin tone |1f3fc
person gesturing OK: medium skin tone |1f3fd
person gesturing OK: medium-dark skin tone |1f3fe
person gesturing OK: dark skin tone |1f3ff
man gesturing OK |fe0f
man gesturing OK: light skin tone |fe0f
man gesturing OK: medium-light skin tone |fe0f
man gesturing OK: medium skin tone |fe0f
man gesturing OK: medium-dark skin tone |fe0f
man gesturing OK: dark skin tone |fe0f
woman gesturing OK |fe0f
woman gesturing OK: light skin tone |fe0f
woman gesturing OK: medium-light skin tone |fe0f
woman gesturing OK: medium skin tone |fe0f
woman gesturing OK: medium-dark skin tone |fe0f
woman gesturing OK: dark skin tone |fe0f
person tipping hand |1f481
person tipping hand: light skin tone |1f3fb
person tipping hand: medium-light skin tone |1f3fc
person tipping hand: medium skin tone |1f3fd
person tipping hand: medium-dark skin tone |1f3fe
person tipping hand: dark skin tone |1f3ff
man tipping hand |fe0f
man tipping hand: light skin tone |fe0f
man tipping hand: medium-light skin tone |fe0f
man tipping hand: medium skin tone |fe0f
man tipping hand: medium-dark skin tone |fe0f
man tipping hand: dark skin tone |fe0f
woman tipping hand |fe0f
woman tipping hand: light skin tone |fe0f
woman tipping hand: medium-light skin tone |fe0f
woman tipping hand: medium skin tone |fe0f
woman tipping hand: medium-dark skin tone |fe0f
woman tipping hand: dark skin tone |fe0f
person raising hand |1f64b
person raising hand: light skin tone |1f3fb
person raising hand: medium-light skin tone |1f3fc
person raising hand: medium skin tone |1f3fd
person raising hand: medium-dark skin tone |1f3fe
person raising hand: dark skin tone |1f3ff
man raising hand |fe0f
man raising hand: light skin tone |fe0f
man raising hand: medium-light skin tone |fe0f
man raising hand: medium skin tone |fe0f
man raising hand: medium-dark skin tone |fe0f
man raising hand: dark skin tone |fe0f
woman raising hand |fe0f
woman raising hand: light skin tone |fe0f
woman raising hand: medium-light skin tone |fe0f
woman raising hand: medium skin tone |fe0f
woman raising hand: medium-dark skin tone |fe0f
woman raising hand: dark skin tone |fe0f
person bowing |1f647
person bowing: light skin tone |1f3fb
person bowing: medium-light skin tone |1f3fc
person bowing: medium skin tone |1f3fd
